TIMESTAMPms	M4ATTITUDEroll	M4ATTITUDErollspeed
2765	1.474680937826633e-02	-3.512091003358364e-03
2773	1.476421765983105e-02	-3.534075105562806e-03
2785	1.477982383221388e-02	-5.784562788903713e-03
2801	1.478324085474014e-02	-5.624142009764910e-03
2813	1.479791942983866e-02	-3.974317573010921e-03
2825	1.480265334248543e-02	-4.840289242565632e-03
2837	1.482975389808416e-02	-3.374181920662522e-03
2849	1.486246008425951e-02	-3.168045543134212e-03
2861	1.487705670297146e-02	-4.202402662485838e-03
2873	1.489501446485519e-02	-3.699593245983124e-03
2885	1.491189282387495e-02	-5.375162232667208e-03
2897	1.491761580109596e-02	-5.200262181460857e-03
2909	1.491192542016506e-02	-6.301472894847393e-03
2921	1.492202468216419e-02	-4.097758792340755e-03
2933	1.493144501000643e-02	-5.400355439633131e-03
2945	1.493810024112463e-02	-5.307483952492476e-03
2957	1.494910102337599e-02	-5.108796060085297e-03
2969	1.496944669634104e-02	-3.272386267781258e-03
2981	1.498620212078094e-02	-4.838046617805958e-03
2993	1.501051057130098e-02	-3.484126646071672e-03
3005	1.503294333815575e-02	-3.895075293257833e-03
3017	1.504606939852238e-02	-4.905599635094404e-03
3025	1.505533326417208e-02	-4.654004238545895e-03
3037	1.508020609617233e-02	-3.624839941039681e-03
3049	1.510837301611900e-02	-3.459704807028174e-03
3065	1.514020934700966e-02	-4.162050783634186e-03
3077	1.516287215054035e-02	-4.881777800619602e-03
3089	1.518059801310301e-02	-4.482666030526161e-03
3101	1.520518772304058e-02	-3.538510994985700e-03
3113	1.522757392376661e-02	-3.765674075111747e-03
3125	1.525512803345919e-02	-3.625333542004228e-03
3137	1.528341881930828e-02	-3.392620710656047e-03
3149	1.531534641981125e-02	-4.220660310238600e-03
3161	1.533291768282652e-02	-3.388412995263934e-03
3173	1.535830181092024e-02	-3.599215066060424e-03
3185	1.537195220589638e-02	-4.437736235558987e-03
3197	1.537881419062614e-02	-5.639601498842239e-03
3209	1.539994683116674e-02	-3.856751136481762e-03
3221	1.542324479669333e-02	-3.434679703786969e-03
3233	1.544839795678854e-02	-3.454684745520353e-03
3245	1.547157112509012e-02	-3.731046337634325e-03
3257	1.549249980598688e-02	-3.886646591126919e-03
3269	1.551784109324217e-02	-3.171010874211788e-03
3281	1.553200557827950e-02	-4.619061946868896e-03
3293	1.553285680711269e-02	-5.242878105491400e-03
3305	1.554642338305712e-02	-3.467155853286386e-03
3313	1.556010171771049e-02	-4.219020716845989e-03
3329	1.559290941804647e-02	-3.283278318122029e-03
3337	1.560535561293364e-02	-4.350743256509304e-03
3349	1.562870480120182e-02	-3.321928670629859e-03
3361	1.564914360642433e-02	-4.403375089168549e-03
3373	1.566406711935997e-02	-4.396900534629822e-03
3385	1.568237133324146e-02	-4.723400808870792e-03
3397	1.570363342761993e-02	-3.671643091365695e-03
3409	1.572582684457302e-02	-3.362291492521763e-03
3421	1.575467176735401e-02	-2.566473558545113e-03
3433	1.578599028289318e-02	-4.013979807496071e-03
3445	1.581635512411594e-02	-3.043680218979716e-03
3457	1.583978347480297e-02	-4.249650985002518e-03
3469	1.585838757455349e-02	-4.352237097918987e-03
3481	1.587475836277008e-02	-3.436372615396976e-03
3493	1.589566469192505e-02	-3.527021966874599e-03
3505	1.591810770332813e-02	-4.147544037550688e-03
3517	1.593200676143169e-02	-4.300800617784262e-03
3529	1.594083011150360e-02	-4.813134670257568e-03
3541	1.595381833612919e-02	-4.341175779700279e-03
3553	1.597663946449757e-02	-3.509730799123645e-03
3565	1.598976179957390e-02	-4.037587903439999e-03
3577	1.600224897265434e-02	-4.302712157368660e-03
3589	1.601883955299854e-02	-3.758564824238420e-03
3601	1.604333147406578e-02	-3.400256624445319e-03
3614	1.606607995927334e-02	-3.335375804454088e-03
3626	1.609563082456589e-02	-3.327068174257874e-03
3638	1.610622927546501e-02	-4.322638269513845e-03
